rs_id,chromosome,snp_position,gene_symbol,effect_size,p_adjust,regulated_gene,tissue,lincrna_begin,lincrna_end,gwas_id,gwas_phenotype
rs4262150,5,152288453,LINC01470,0.39,1.61E-06,NMUR2,Thyroid,152264987,152351343,22688191,schizophrenia
rs2853694,5,158749088,LOC285626,0.17,6.34E-06,UBLCP1,Thyroid,158737941,158760011,25903422,psoriasis
rs2853694,5,158749088,LOC285626,0.17,6.34E-06,UBLCP1,Thyroid,158737941,158760011,25903422,psoriasis
rs2546890,5,158759900,LOC285626,0.19,3.70E-07,UBLCP1,Thyroid,158758526,158789842,21833088,multiple sclerosis
rs2546890,5,158759900,LOC285626,0.19,3.70E-07,UBLCP1,Thyroid,158758526,158789842,25574825,inflammatory skin disease
rs2546890,5,158759900,LOC285626,0.19,3.70E-07,UBLCP1,Thyroid,158758526,158789842,20953188,psoriasis
rs2546890,5,158759900,LOC285626,0.19,3.70E-07,UBLCP1,Thyroid,158758526,158789842,22190364,multiple sclerosis
rs2546890,5,158759900,LOC285626,0.19,3.70E-07,UBLCP1,Thyroid,158758526,158789842,26394269,primary biliary cirrhosis
rs836788,5,79912044,LINC01337,-0.34,2.34E-06,DHFR,Thyroid,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs836788,5,79912044,LINC01337,0.53,2.04E-23,MSH3,Thyroid,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.52,1.70E-11,MAFTRR,Thyroid,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.53,3.54E-12,MAFTRR,Thyroid,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.53,1.89E-11,MAFTRR,Thyroid,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.53,1.89E-11,MAFTRR,Thyroid,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.53,1.89E-11,MAFTRR,Thyroid,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.54,1.47E-11,MAFTRR,Thyroid,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs2955259,4,170873844,LOC100506085,-0.47,1.56E-15,MFAP3L,Thyroid,170838912,170897053,25201988,educational attainment
rs11723530,4,170880883,LOC100506085,-0.42,4.58E-12,MFAP3L,Thyroid,170838912,170897053,23049088,myopia
rs10504229,8,58196495,LINC00588,0.59,1.10E-09,LINC01606,Thyroid,58192102,58197290,27016271,developmental language disorder (linguistic errors)
rs10504229,8,58196495,LINC00588,0.59,1.10E-09,LINC01606,Thyroid,58192102,58197290,27016271,developmental language disorder (linguistic errors)
rs2562456,19,21666210,LINC00664,-0.30,3.79E-07,ZNF708,Thyroid,21666176,21682100,19207018,pain
rs3892630,19,33181484,LOC105372367,-0.60,4.86E-20,NUDT19,Thyroid,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.31,7.93E-09,ZNF181,Thyroid,35279486,35307804,25811787,urate levels related
rs28397663,17,47328183,FLJ40194,0.27,3.37E-05,GNGT2,Thyroid,47325605,47336024,27182965,allergy
rs4794820,17,38089344,LOC101928947,0.25,4.70E-07,PGAP3,Thyroid,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,0.23,7.97E-07,PGAP3,Thyroid,38084120,38095854,21150878,asthma related
rs4794820,17,38089344,LOC101928947,-0.45,1.16E-08,GSDMA,Thyroid,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.57,2.32E-15,GSDMA,Thyroid,38084120,38095854,21150878,asthma related
rs266717,3,186530484,LOC102724699,-0.32,1.82E-07,RFC4,Thyroid,186528669,186543310,20011104,adiponectin levels
rs12802200,11,566936,MIR210HG,-0.27,1.36E-05,RNH1,Colon_Transverse,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.39,1.30E-05,HRAS,Colon_Transverse,565660,568420,26502338,systemic lupus erythematosus
rs4924410,15,40339494,SRP14-AS1,-0.33,2.30E-06,EIF2AK4,Colon_Transverse,40331550,40349184,22327514,ewing sarcoma
rs11078597,17,1618363,MIR22,-0.31,1.34E-06,WDR81,Colon_Transverse,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.31,1.34E-06,WDR81,Colon_Transverse,1616742,1620468,23022100,serum albumin level
rs6904029,6,29943067,HCG9,0.47,9.45E-07,IFITM4P,Colon_Transverse,29942889,29946183,24939585,age-related hearing impairment
rs71327718,3,125592857,LOC101927056,0.96,2.00E-11,FAM86JP,Colon_Transverse,125546100,125604920,23319000,metabolite levels
rs7172809,15,77819676,LOC101929457,0.24,2.14E-05,SCAPER,Colon_Transverse,77817882,77826452,25524916,glucose homeostasis traits
rs7172809,15,77819676,LOC101929457,-0.25,4.22E-05,PEAK1,Colon_Transverse,77817882,77826452,25524916,glucose homeostasis traits
rs134882,22,42670965,OGFRP1,0.44,1.11E-05,SMDT1,Colon_Transverse,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.44,1.11E-05,SMDT1,Colon_Transverse,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.39,1.92E-10,CYP2D6,Colon_Transverse,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.39,1.92E-10,CYP2D6,Colon_Transverse,42665774,42671039,20889312,schizophrenia
rs9262631,6,31024601,HCG22,0.99,2.69E-06,PSORS1C1,Colon_Transverse,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,0.99,2.69E-06,PSORS1C1,Colon_Transverse,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,1.06,1.74E-06,PSORS1C2,Colon_Transverse,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,1.06,1.74E-06,PSORS1C2,Colon_Transverse,31021984,31027653,21051598,hiv related
rs17807185,7,77308295,APTR,-0.16,2.52E-05,PTPN12,Colon_Transverse,77288410,77325582,25282103,height
rs7188445,16,79734987,LINC01229,-0.66,2.30E-10,MAFTRR,Colon_Transverse,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.71,1.89E-12,MAFTRR,Colon_Transverse,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.73,5.04E-12,MAFTRR,Colon_Transverse,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.73,5.04E-12,MAFTRR,Colon_Transverse,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.73,5.04E-12,MAFTRR,Colon_Transverse,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.75,3.42E-12,MAFTRR,Colon_Transverse,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs836788,5,79912044,LINC01337,0.32,5.70E-06,MSH3,Colon_Transverse,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs1432295,2,61066666,LINC01185,-0.29,2.73E-06,PUS10,Colon_Transverse,61052267,61108449,21037568,hodgkins lymphoma
rs1432295,2,61066666,LINC01185,-0.29,2.73E-06,PUS10,Colon_Transverse,61052267,61108449,24149102,hodgkins lymphoma
rs35741374,2,61072567,LINC01185,-0.25,2.58E-06,PUS10,Colon_Transverse,61052267,61108449,25574825,inflammatory skin disease
rs842625,2,61080482,LINC01185,0.25,2.59E-06,PUS10,Colon_Transverse,61074895,61108449,25903422,psoriasis
rs842625,2,61080482,LINC01185,0.25,2.59E-06,PUS10,Colon_Transverse,61074895,61108449,25903422,psoriasis
rs702873,2,61081542,LINC01185,0.24,4.89E-06,PUS10,Colon_Transverse,61074895,61108449,25574825,psoriasis
rs702873,2,61081542,LINC01185,0.24,4.89E-06,PUS10,Colon_Transverse,61074895,61108449,22170493,psoriatic arthritis
rs702873,2,61081542,LINC01185,0.24,4.89E-06,PUS10,Colon_Transverse,61074895,61108449,20953190,psoriasis
rs62149416,2,61083506,LINC01185,0.28,1.15E-06,PUS10,Colon_Transverse,61074895,61108449,26626624,psoriasis vulgaris
rs842636,2,61091950,LINC01185,0.25,8.68E-07,PUS10,Colon_Transverse,61074895,61108449,20953189,psoriasis
rs3892630,19,33181484,LOC105372367,-0.49,6.49E-19,NUDT19,Colon_Transverse,33177995,33182656,23222517,red blood cell traits
rs4794820,17,38089344,LOC101928947,0.23,7.30E-06,GSDMB,Colon_Transverse,38084120,38095854,22561531,asthma related
rs4794820,17,38089344,LOC101928947,-0.51,7.40E-08,GSDMA,Colon_Transverse,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.52,3.47E-08,GSDMA,Colon_Transverse,38084120,38095854,21150878,asthma related
rs12802200,11,566936,MIR210HG,-0.28,1.07E-05,HRAS,Adipose_Visceral_Omentum,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.40,1.36E-06,TMEM80,Adipose_Visceral_Omentum,565660,568420,26502338,systemic lupus erythematosus
rs144447022,6,29244219,LOC101929006,1.13,3.41E-05,ZFP57,Adipose_Visceral_Omentum,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.51,3.83E-07,IFITM4P,Adipose_Visceral_Omentum,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.57,2.64E-08,HLA-J,Adipose_Visceral_Omentum,29942889,29946183,24939585,age-related hearing impairment
rs71327718,3,125592857,LOC101927056,0.81,7.69E-10,FAM86JP,Adipose_Visceral_Omentum,125546100,125604920,23319000,metabolite levels
rs7359257,15,67702907,IQCH-AS1,0.26,1.17E-05,MAP2K5,Adipose_Visceral_Omentum,67700415,67705876,21102462,menarche
rs7359257,15,67702907,IQCH-AS1,0.27,3.29E-05,SKOR1,Adipose_Visceral_Omentum,67700415,67705876,21102462,menarche
rs7945071,11,110243922,LOC105369486,0.23,5.25E-05,FDX1,Adipose_Visceral_Omentum,110225924,110252710,24684796,cognition related
rs9262631,6,31024601,HCG22,-0.49,1.65E-05,CCHCR1,Adipose_Visceral_Omentum,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.49,1.65E-05,CCHCR1,Adipose_Visceral_Omentum,31021984,31027653,21051598,hiv related
rs134882,22,42670965,OGFRP1,0.28,1.86E-07,NAGA,Adipose_Visceral_Omentum,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.28,1.86E-07,NAGA,Adipose_Visceral_Omentum,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.40,1.53E-06,SMDT1,Adipose_Visceral_Omentum,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.40,1.53E-06,SMDT1,Adipose_Visceral_Omentum,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.63,9.58E-09,CYP2D6,Adipose_Visceral_Omentum,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.63,9.58E-09,CYP2D6,Adipose_Visceral_Omentum,42665774,42671039,20889312,schizophrenia
rs17807185,7,77308295,APTR,-0.24,1.88E-05,PTPN12,Adipose_Visceral_Omentum,77288410,77325582,25282103,height
rs836788,5,79912044,LINC01337,0.30,1.89E-07,MSH3,Adipose_Visceral_Omentum,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.49,9.60E-08,MAFTRR,Adipose_Visceral_Omentum,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.48,1.22E-07,MAFTRR,Adipose_Visceral_Omentum,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,2.15E-08,MAFTRR,Adipose_Visceral_Omentum,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,2.15E-08,MAFTRR,Adipose_Visceral_Omentum,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.51,2.15E-08,MAFTRR,Adipose_Visceral_Omentum,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.55,1.35E-08,MAFTRR,Adipose_Visceral_Omentum,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs3892630,19,33181484,LOC105372367,-0.36,1.05E-07,NUDT19,Adipose_Visceral_Omentum,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,-0.41,2.77E-05,FAAP24,Adipose_Visceral_Omentum,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.32,3.78E-07,ZNF181,Adipose_Visceral_Omentum,35279486,35307804,25811787,urate levels related
rs4794820,17,38089344,LOC101928947,-0.63,5.19E-13,GSDMA,Adipose_Visceral_Omentum,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.64,8.28E-14,GSDMA,Adipose_Visceral_Omentum,38084120,38095854,21150878,asthma related
rs12802200,11,566936,MIR210HG,-0.34,2.19E-07,PTDSS2,Esophagus_Muscularis,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.33,1.54E-06,RNH1,Esophagus_Muscularis,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.33,2.88E-08,HRAS,Esophagus_Muscularis,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.42,4.84E-06,TMEM80,Esophagus_Muscularis,565660,568420,26502338,systemic lupus erythematosus
rs4924410,15,40339494,SRP14-AS1,-0.35,6.29E-09,EIF2AK4,Esophagus_Muscularis,40331550,40349184,22327514,ewing sarcoma
rs11078597,17,1618363,MIR22,-0.32,1.70E-09,WDR81,Esophagus_Muscularis,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.32,1.70E-09,WDR81,Esophagus_Muscularis,1616742,1620468,23022100,serum albumin level
rs9392556,6,4146198,LOC100507506,-0.41,2.30E-09,C6orf201,Esophagus_Muscularis,4136306,4157619,24816252,blood metabolite levels
rs9392556,6,4146198,LOC100507506,-0.31,1.44E-05,ECI2,Esophagus_Muscularis,4136306,4157619,24816252,blood metabolite levels
rs144447022,6,29244219,LOC101929006,1.13,2.18E-07,ZFP57,Esophagus_Muscularis,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,-0.27,1.55E-04,HLA-F-AS1,Esophagus_Muscularis,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.41,1.04E-04,IFITM4P,Esophagus_Muscularis,29942889,29946183,24939585,age-related hearing impairment
rs71327718,3,125592857,LOC101927056,1.10,4.02E-20,FAM86JP,Esophagus_Muscularis,125546100,125604920,23319000,metabolite levels
rs9931543,16,56128782,LOC283856,0.41,6.43E-06,GNAO1,Esophagus_Muscularis,56126899,56225006,27089181,subjective well-being
rs56313388,16,56207769,LOC283856,0.43,3.89E-07,GNAO1,Esophagus_Muscularis,56203591,56223919,28135244,pulse pressure
rs7945071,11,110243922,LOC105369486,0.24,5.23E-05,FDX1,Esophagus_Muscularis,110225924,110252710,24684796,cognition related
rs7523273,1,207977083,MIR29C,-0.40,3.51E-16,CD46,Esophagus_Muscularis,207974863,208042495,26198764,schizophrenia
rs7523273,1,207977083,MIR29C,-0.40,3.51E-16,CD46,Esophagus_Muscularis,207974863,208042495,25056061,schizophrenia
rs1318653,1,208014922,MIR29C,-0.56,2.07E-25,CD46,Esophagus_Muscularis,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.56,2.07E-25,CD46,Esophagus_Muscularis,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.59,5.66E-28,CD46,Esophagus_Muscularis,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.59,5.66E-28,CD46,Esophagus_Muscularis,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.49,2.35E-22,CD46,Esophagus_Muscularis,207974863,208042495,23326517,age-related macular degeneration
rs12526186,6,30736151,HCG20,-0.39,1.72E-06,IER3,Esophagus_Muscularis,30734602,30760027,19721433,response to antipsychotic treatment
rs3094117,6,30737486,HCG20,-0.31,2.13E-06,VARS2,Esophagus_Muscularis,30734602,30760027,23793025,migraine
rs9262631,6,31024601,HCG22,1.03,7.16E-09,PSORS1C1,Esophagus_Muscularis,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,1.03,7.16E-09,PSORS1C1,Esophagus_Muscularis,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,1.19,2.96E-09,PSORS1C2,Esophagus_Muscularis,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,1.19,2.96E-09,PSORS1C2,Esophagus_Muscularis,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.65,1.70E-05,MICA,Esophagus_Muscularis,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.65,1.70E-05,MICA,Esophagus_Muscularis,31021984,31027653,21051598,hiv related
rs134882,22,42670965,OGFRP1,0.42,1.12E-10,NAGA,Esophagus_Muscularis,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.42,1.12E-10,NAGA,Esophagus_Muscularis,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.36,1.44E-06,SMDT1,Esophagus_Muscularis,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.36,1.44E-06,SMDT1,Esophagus_Muscularis,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.64,2.53E-14,CYP2D6,Esophagus_Muscularis,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.64,2.53E-14,CYP2D6,Esophagus_Muscularis,42665774,42671039,20889312,schizophrenia
rs17807185,7,77308295,APTR,-0.39,2.73E-13,PTPN12,Esophagus_Muscularis,77288410,77325582,25282103,height
rs836788,5,79912044,LINC01337,0.34,5.84E-09,MSH3,Esophagus_Muscularis,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.43,2.09E-06,MAFTRR,Esophagus_Muscularis,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.45,6.95E-07,MAFTRR,Esophagus_Muscularis,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.44,2.01E-06,MAFTRR,Esophagus_Muscularis,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.44,2.01E-06,MAFTRR,Esophagus_Muscularis,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.44,2.01E-06,MAFTRR,Esophagus_Muscularis,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.46,8.18E-07,MAFTRR,Esophagus_Muscularis,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs3892630,19,33181484,LOC105372367,-0.66,7.08E-15,NUDT19,Esophagus_Muscularis,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,0.44,2.27E-06,CEP89,Esophagus_Muscularis,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.28,3.97E-07,ZNF181,Esophagus_Muscularis,35279486,35307804,25811787,urate levels related
rs1432295,2,61066666,LINC01185,-0.39,2.89E-07,PUS10,Esophagus_Muscularis,61052267,61108449,21037568,hodgkins lymphoma
rs1432295,2,61066666,LINC01185,-0.39,2.89E-07,PUS10,Esophagus_Muscularis,61052267,61108449,24149102,hodgkins lymphoma
rs35741374,2,61072567,LINC01185,-0.35,4.74E-07,PUS10,Esophagus_Muscularis,61052267,61108449,25574825,inflammatory skin disease
rs842625,2,61080482,LINC01185,0.35,4.96E-07,PUS10,Esophagus_Muscularis,61074895,61108449,25903422,psoriasis
rs842625,2,61080482,LINC01185,0.35,4.96E-07,PUS10,Esophagus_Muscularis,61074895,61108449,25903422,psoriasis
rs702873,2,61081542,LINC01185,0.35,1.13E-06,PUS10,Esophagus_Muscularis,61074895,61108449,25574825,psoriasis
rs702873,2,61081542,LINC01185,0.35,1.13E-06,PUS10,Esophagus_Muscularis,61074895,61108449,22170493,psoriatic arthritis
rs702873,2,61081542,LINC01185,0.35,1.13E-06,PUS10,Esophagus_Muscularis,61074895,61108449,20953190,psoriasis
rs62149416,2,61083506,LINC01185,0.42,1.86E-08,PUS10,Esophagus_Muscularis,61074895,61108449,26626624,psoriasis vulgaris
rs842636,2,61091950,LINC01185,0.34,1.14E-06,PUS10,Esophagus_Muscularis,61074895,61108449,20953189,psoriasis
rs4794820,17,38089344,LOC101928947,0.19,2.24E-05,PGAP3,Esophagus_Muscularis,38084120,38095854,22561531,asthma related
rs4794820,17,38089344,LOC101928947,-0.51,5.98E-09,GSDMA,Esophagus_Muscularis,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.58,4.89E-12,GSDMA,Esophagus_Muscularis,38084120,38095854,21150878,asthma related
rs4924410,15,40339494,SRP14-AS1,-0.28,1.67E-07,EIF2AK4,Skin_Sun_Exposed_Lower_leg,40331550,40349184,22327514,ewing sarcoma
rs4924410,15,40339494,SRP14-AS1,0.17,3.69E-05,SRP14,Skin_Sun_Exposed_Lower_leg,40331550,40349184,22327514,ewing sarcoma
rs4561483,16,11920037,BCAR4,-0.15,7.32E-06,RSL1D1,Skin_Sun_Exposed_Lower_leg,11914008,11922668,26503584,testicular germ cell cancer
rs11078597,17,1618363,MIR22,-0.19,1.31E-05,WDR81,Skin_Sun_Exposed_Lower_leg,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.19,1.31E-05,WDR81,Skin_Sun_Exposed_Lower_leg,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.36,9.06E-13,SERPINF2,Skin_Sun_Exposed_Lower_leg,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.36,9.06E-13,SERPINF2,Skin_Sun_Exposed_Lower_leg,1616742,1620468,23022100,serum albumin level
rs2236176,20,21081488,LOC105372556,0.21,9.54E-07,KIZ,Skin_Sun_Exposed_Lower_leg,21074199,21086975,25673413,body mass index
rs2236176,20,21081488,LOC105372556,0.21,9.54E-07,KIZ,Skin_Sun_Exposed_Lower_leg,21074199,21086975,25673413,body mass index
rs144447022,6,29244219,LOC101929006,1.00,4.17E-09,ZFP57,Skin_Sun_Exposed_Lower_leg,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.40,3.20E-06,IFITM4P,Skin_Sun_Exposed_Lower_leg,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,-0.17,3.39E-05,RNF39,Skin_Sun_Exposed_Lower_leg,29942889,29946183,24939585,age-related hearing impairment
rs7246657,19,37747108,LINC01535,0.24,5.69E-05,HKR1,Skin_Sun_Exposed_Lower_leg,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,0.33,1.54E-09,ZNF793,Skin_Sun_Exposed_Lower_leg,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,-0.29,5.60E-07,ZFP30,Skin_Sun_Exposed_Lower_leg,37746818,37756377,23870195,coronary artery calcification
rs16975963,19,38325536,LOC100631378,0.67,5.85E-14,WDR87,Skin_Sun_Exposed_Lower_leg,38324103,38344187,20834067,longevity
rs71327718,3,125592857,LOC101927056,0.71,9.02E-15,FAM86JP,Skin_Sun_Exposed_Lower_leg,125546100,125604920,23319000,metabolite levels
rs7359257,15,67702907,IQCH-AS1,0.19,1.83E-07,MAP2K5,Skin_Sun_Exposed_Lower_leg,67700415,67705876,21102462,menarche
rs1372356,14,88515949,LINC01146,0.31,9.98E-07,GALC,Skin_Sun_Exposed_Lower_leg,88511072,88559509,24962563,food antigen igg levels
rs10774624,12,111833788,LOC105369984,-0.26,7.86E-09,ALDH2,Skin_Sun_Exposed_Lower_leg,111807086,111841114,24390342,rheumatoid arthritis
rs9402743,6,136001034,LINC00271,-0.25,1.80E-06,AHI1,Skin_Sun_Exposed_Lower_leg,135993452,136037193,26502338,systemic lupus erythematosus
rs9402743,6,136001034,LINC00271,-0.25,1.80E-06,AHI1,Skin_Sun_Exposed_Lower_leg,135993452,136037193,27399966,systemic lupus erythematosus
rs3094117,6,30737486,HCG20,-0.36,1.07E-07,VARS2,Skin_Sun_Exposed_Lower_leg,30734602,30760027,23793025,migraine
rs9262631,6,31024601,HCG22,0.56,1.31E-07,PSORS1C1,Skin_Sun_Exposed_Lower_leg,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,0.56,1.31E-07,PSORS1C1,Skin_Sun_Exposed_Lower_leg,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.53,9.28E-09,CCHCR1,Skin_Sun_Exposed_Lower_leg,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.53,9.28E-09,CCHCR1,Skin_Sun_Exposed_Lower_leg,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.56,9.14E-06,MICA,Skin_Sun_Exposed_Lower_leg,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.56,9.14E-06,MICA,Skin_Sun_Exposed_Lower_leg,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.33,4.06E-05,C6orf48,Skin_Sun_Exposed_Lower_leg,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.33,4.06E-05,C6orf48,Skin_Sun_Exposed_Lower_leg,31021984,31027653,21051598,hiv related
rs134882,22,42670965,OGFRP1,0.31,7.42E-12,NAGA,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.31,7.42E-12,NAGA,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.43,4.83E-10,SMDT1,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.43,4.83E-10,SMDT1,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.33,2.43E-07,NDUFA6-AS1,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.33,2.43E-07,NDUFA6-AS1,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.77,1.54E-29,CYP2D6,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.77,1.54E-29,CYP2D6,Skin_Sun_Exposed_Lower_leg,42665774,42671039,20889312,schizophrenia
rs836788,5,79912044,LINC01337,0.32,6.08E-10,MSH3,Skin_Sun_Exposed_Lower_leg,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.64,6.15E-24,MAFTRR,Skin_Sun_Exposed_Lower_leg,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.66,4.57E-26,MAFTRR,Skin_Sun_Exposed_Lower_leg,79710005,79760326,21565293,thyroid related
rs3813579,16,79749276,LINC01229,-0.37,1.60E-08,MAFTRR,Skin_Sun_Exposed_Lower_leg,79747744,79832987,21565293,thyroid related
